Rank,Team,Rating,Avg_Rank,Avg_Rating,1Y_Change_Rank,1Y_Change_Rating,Matches_Total,Home,Away,Neutral,Wins,Losses,Draws,Goals_For,Against
79,Jamaica,1527,83,1412,-13,-48,712,272,266,174,276,270,166,954,937
80,Ghana,1509,41,1653,+15,+79,773,245,294,234,371,208,194,1246,808
80,Finland,1509,62,1500,-7,-29,821,337,427,57,216,439,166,968,1692
82,Belarus,1496,80,1505,+6,+37,304,103,156,45,88,137,79,339,441
83,Oman,1490,128,1210,-3,-23,592,227,143,222,223,217,152,757,778
84,Syria,1487,86,1429,+9,+49,596,125,219,252,225,224,147,866,753
85,Guinea,1485,72,1516,-2,-5,646,174,264,208,252,210,184,956,804
86,Palestine,1470,122,1251,+16,+62,292,19,112,161,83,131,78,370,454
87,Curaçao,1467,97,1381,+41,+131,496,173,175,148,201,171,124,878,760
88,Northern Cyprus,1457,84,1463,+1,0,17,5,3,9,9,6,2,30,23
89,Bulgaria,1453,41,1633,-5,-33,777,298,398,81,284,299,194,1081,1147
90,Montenegro,1444,60,1600,-11,-76,170,89,76,5,56,72,42,198,234
91,Suriname,1441,84,1404,+30,+84,542,231,222,89,239,174,129,985,738
92,Qatar,1427,93,1416,-14,-99,694,325,146,223,287,232,175,989,823
93,Kurdistan,1425,100,1425,+4,0,4,2,0,2,3,0,1,12,3
94,Libya,1424,82,1471,+15,+33,456,164,165,127,166,184,106,619,607
94,Gambia,1424,118,1308,+20,+46,297,108,99,90,81,134,82,317,427
96,Bahrain,1417,109,1349,-19,-112,637,219,158,260,224,247,166,783,825
97,Benin,1411,109,1356,-3,-20,351,129,143,79,86,181,84,364,617
98,Kazakhstan,1410,101,1419,-3,-20,270,101,123,46,68,144,58,280,452
99,Gabon,1405,95,1414,-7,-37,460,184,153,123,159,173,128,548,562
100,Niger,1404,133,1238,+31,+83,288,100,117,71,65,156,67,286,514
101,China,1403,50,1576,-1,-10,758,271,263,224,366,231,161,1414,861
102,Trinidad and Tobago,1402,61,1505,+6,+9,867,344,363,160,375,300,192,1443,1113
103,Uganda,1395,74,1486,+4,-1,732,250,256,226,304,236,192,1104,881
103,Luxembourg,1395,108,1256,-12,-50,471,256,199,16,52,357,62,303,1224
105,Armenia,1389,102,1419,-4,-22,280,112,132,36,66,157,57,280,535
106,Equatorial Guinea,1382,151,1158,-24,-113,193,80,64,49,55,95,43,180,286
107,Faroe Islands,1380,122,1252,+39,+103,280,119,139,22,49,194,37,210,639
108,North Korea,1375,62,1568,+3,-12,422,50,151,221,179,127,116,659,448
109,Comoros,1374,186,938,-11,-49,156,29,34,93,40,80,36,144,245
110,Mozambique,1372,116,1331,-20,-75,442,166,176,100,139,192,111,465,580
111,Zambia,1370,59,1552,-8,-37,876,280,359,237,391,260,225,1385,948
111,Madagascar,1370,104,1366,+28,+81,355,121,120,114,136,142,77,492,529
113,Thailand,1367,112,1317,0,-12,938,393,199,346,367,360,211,1487,1411
114,Estonia,1360,94,1353,+3,-17,537,230,254,53,132,286,119,530,959
115,Sudan,1349,89,1446,-3,-37,556,154,203,199,188,227,141,634,738
116,Reunion,1345,125,1184,+9,0,139,53,38,48,55,55,29,237,252
117,Sierra Leone,1344,104,1368,+21,+49,335,115,140,80,97,150,88,328,476
117,Kenya,1344,90,1379,-12,-58,774,291,280,203,292,292,190,1069,1062
119,Zimbabwe,1343,78,1463,-5,-35,550,190,222,138,205,184,161,734,667
120,Indonesia,1341,101,1362,+12,+21,784,248,194,342,298,332,154,1319,1276
121,Martinique,1340,79,1458,-22,-76,366,135,123,108,165,114,87,671,483
121,Togo,1340,89,1440,-7,-38,492,180,198,114,156,211,125,530,673
121,Tanzania,1340,117,1290,-17,-66,652,243,236,173,189,279,184,737,957
124,Azerbaijan,1339,107,1397,-18,-59,320,114,152,54,65,175,80,256,540
125,Guadeloupe,1338,91,1408,+4,+4,293,92,89,112,128,114,51,507,410
126,Lebanon,1332,107,1333,0,-7,419,141,142,136,124,184,111,508,616
127,Kuwait,1330,83,1467,0,-8,759,267,175,317,318,248,193,1191,875
128,Vietnam,1329,121,1296,-7,-28,524,173,131,220,220,201,103,918,774
129,Nicaragua,1328,146,1029,-11,-35,250,63,97,90,54,165,31,257,614
130,El Salvador,1324,71,1472,-20,-66,684,210,208,266,226,305,153,862,1022
131,Zanzibar,1320,146,1117,+1,0,215,35,45,135,38,131,46,184,458
132,Malaysia,1313,122,1287,+20,+58,932,392,240,300,362,358,212,1514,1354
133,Kyrgyzstan,1312,156,1199,+11,+32,188,47,74,67,55,103,30,206,331
134,Namibia,1311,136,1272,0,-8,302,102,120,80,77,134,91,295,422
135,Rwanda,1310,144,1206,-15,-48,288,104,101,83,88,126,74,292,364
135,Mauritania,1310,155,1114,-16,-52,297,91,102,104,55,172,70,214,524
137,Cyprus,1302,101,1379,0,+1,426,236,184,6,83,270,73,382,928
138,Liberia,1299,112,1342,+12,+35,337,144,143,50,90,173,74,313,516
139,Tajikistan,1297,124,1330,-3,-8,211,54,84,73,79,88,44,300,307
140,New Caledonia,1295,102,1357,+11,+33,284,87,71,126,141,109,34,739,418
141,Dominican Republic,1293,167,1058,-1,+6,187,84,63,40,69,88,30,296,300
142,Moldova,1288,109,1392,-19,-67,298,113,144,41,60,170,68,242,515
143,Latvia,1286,87,1400,+4,+10,457,191,212,54,127,219,111,535,753
144,Botswana,1285,150,1167,-21,-70,365,164,135,66,97,164,104,310,485
145,Malta,1279,118,1324,+4,+9,452,245,181,26,65,311,76,295,1013
146,Lithuania,1276,92,1318,-4,-7,417,168,206,43,105,230,82,412,757
147,Guyana,1275,104,1293,+6,+31,454,179,194,81,140,224,90,584,789
148,Ethiopia,1264,98,1396,0,-11,469,213,162,94,168,198,103,651,689
149,Malawi,1252,115,1328,-14,-57,695,305,241,149,230,263,202,812,898
150,Guinea-Bissau,1245,125,1282,-20,-86,213,66,62,85,58,103,52,214,314
151,Burundi,1239,124,1286,-7,-41,238,51,87,100,72,111,55,266,329
152,Central African Republic,1238,124,1296,-11,-47,162,32,67,63,36,93,33,180,322
153,Cuba,1230,84,1436,-10,-51,481,103,209,169,184,189,108,672,679
154,French Guiana,1220,125,1246,+3,0,190,67,67,56,57,92,41,280,328
155,Turkmenistan,1217,117,1359,+6,+12,185,42,74,69,71,80,34,286,277
156,Mayotte,1216,157,1201,+3,0,41,2,11,28,13,17,11,55,59
157,Lesotho,1215,151,1179,-2,-14,349,113,146,90,69,178,102,277,573
158,Eswatini,1210,152,1171,0,-7,322,122,131,69,71,156,95,296,538
159,Congo,1206,83,1472,-3,-16,476,180,190,106,173,187,116,681,666
160,Tahiti,1177,102,1388,0,-30,254,58,71,125,136,82,36,693,383
161,Saint Vincent and the Grenadines,1174,110,1323,+6,+42,363,138,136,89,130,149,84,562,643
162,Philippines,1155,135,1064,+8,+34,395,109,126,160,96,240,59,418,1028
163,Yemen,1150,143,1212,+6,+26,294,55,86,153,65,173,56,304,574
164,Eritrea,1141,164,1159,+1,0,84,20,27,37,15,50,19,57,136
165,Hong Kong,1136,123,1285,+1,0,519,186,154,179,183,233,103,833,878
166,Papua New Guinea,1135,165,1091,+7,+31,165,30,43,92,54,80,31,352,356
167,Puerto Rico,1134,169,935,+4,+14,193,71,67,55,44,120,29,223,488
168,South Sudan,1133,179,1087,+3,+13,79,16,29,34,12,51,16,51,144
169,Singapore,1131,134,1227,+9,+55,770,319,186,265,241,372,157,1034,1394
170,India,1122,111,1338,-8,-52,604,175,168,261,218,260,126,831,991
170,Grenada,1122,101,1371,+9,+57,306,114,115,77,103,125,78,490,548
172,Chad,1120,136,1242,-9,-45,182,44,58,80,35,105,42,166,338
172,Bermuda,1120,128,1285,-8,-22,234,106,82,46,79,110,45,375,412
174,Vanuatu,1114,156,1104,+7,+69,225,52,51,122,70,124,31,400,482
175,Fiji,1108,128,1247,-21,-125,286,106,63,117,126,105,55,644,459
176,Belize,1103,139,1114,-1,+10,127,45,44,38,32,72,23,135,239
177,Solomon Islands,1091,147,1184,-9,-36,221,59,62,100,94,90,37,476,414
178,Mauritius,1090,107,1336,+5,+55,357,123,151,83,100,174,83,450,572
179,Andorra,1083,182,1050,-2,0,226,91,103,32,14,181,31,75,537
180,Sao Tome and Principe,1055,174,1055,+1,+10,79,24,34,21,11,58,10,57,207
181,Afghanistan,1033,167,919,-5,-53,163,8,65,90,37,88,38,150,329
182,Gibraltar,1017,178,1083,-2,-39,114,38,48,28,16,83,15,62,341
183,Saint Lucia,1008,125,1242,0,-27,261,87,107,67,90,129,42,360,476
184,Saint Kitts and Nevis,1005,138,1175,-10,-98,250,121,79,50,103,100,47,427,390
185,Saint Martin,1004,187,982,0,-15,84,18,35,31,31,44,9,130,190
186,Somaliland,1002,188,1001,0,0,2,0,0,2,1,0,1,4,3
187,Western Sahara,996,189,996,0,0,1,0,1,0,0,1,0,0,6
188,Montserrat,971,191,640,+1,+20,74,15,26,33,18,48,8,76,235
189,Somalia,962,165,1073,+13,+66,148,10,47,91,15,112,21,78,375
190,Sint Maarten,957,187,908,+4,+24,73,16,25,32,22,39,12,104,192
191,Aruba,949,125,1199,+10,+47,205,83,80,42,50,111,44,290,465
192,Greenland,946,185,975,-1,0,22,2,7,13,5,16,1,35,50
193,Myanmar,944,132,1235,+3,+27,548,116,137,295,216,230,102,885,947
194,Dominica,940,131,1197,-6,-39,244,69,97,78,60,131,53,288,486
195,Bangladesh,939,181,978,+4,+34,324,92,92,140,87,165,72,297,579
196,Barbados,921,121,1244,-6,-28,372,168,132,72,116,160,96,484,610
197,Nepal,916,190,887,-4,-18,296,74,90,132,68,174,54,250,674
197,Djibouti,916,178,872,-5,-27,119,28,38,53,10,98,11,82,420
199,Monaco,903,199,900,+1,0,9,0,1,8,4,2,3,11,15
200,Liechtenstein,900,167,1115,-2,-13,255,114,124,17,18,205,32,102,718
201,Antigua and Barbuda,894,144,1180,-5,-23,285,116,101,68,95,136,54,394,491
202,Taiwan,865,144,1170,-7,-58,337,94,109,134,96,190,51,462,783
203,Cambodia,845,157,1058,+2,-6,317,81,93,143,72,200,45,363,817
204,Seychelles,841,181,988,0,-17,188,51,58,79,26,130,32,143,423
204,Maldives,841,191,884,-1,-48,238,62,82,94,66,133,39,287,533
206,San Marino,833,195,918,0,-15,224,107,110,77,3,210,11,41,889
207,Pakistan,828,154,1101,+2,+4,286,64,96,126,63,171,52,272,645
208,Bonaire,823,150,1037,-1,-16,101,17,52,32,23,66,12,113,251
209,Cayman Islands,806,183,1002,-1,-22,126,58,38,30,25,77,24,122,308
210,Chagos Islands,785,211,787,+1,0,4,0,0,4,1,2,1,8,10
211,Sri Lanka,779,179,915,+6,+57,282,69,88,125,56,176,50,271,690
212,Tuvalu,756,204,745,0,0,34,0,4,30,9,21,4,47,182
213,Sint Eustatius,737,213,753,0,0,11,3,8,0,5,2,4,33,30
214,Mongolia,730,190,843,0,0,99,22,36,41,21,67,11,99,279
215,Samoa,728,211,658,0,0,77,28,15,34,23,50,4,109,279
216,Saint Barthelemy,725,217,705,0,0,10,7,3,0,4,5,1,25,29
217,Bahamas,720,190,873,-7,-72,88,30,31,27,17,60,11,89,287
218,Guam,714,206,693,0,0,128,25,42,61,30,85,13,161,577
219,Laos,707,186,895,0,+8,234,48,69,117,42,157,35,234,739
220,Wallis and Futuna,699,201,699,-1,0,24,0,5,19,5,19,0,23,109
221,British Virgin Islands,693,207,789,+7,+67,135,35,61,39,22,90,23,122,397
222,Vatican,692,218,697,-1,0,5,0,0,5,0,3,2,1,6
223,Saba,691,223,674,-1,0,8,5,3,0,2,4,2,25,26
224,East Timor,682,226,628,+1,+20,91,5,46,40,11,72,8,82,286
225,Saint Pierre and Miquelon,677,223,678,-2,0,7,0,0,7,0,7,0,2,78
226,Turks and Caicos Islands,657,211,767,0,+9,55,16,22,17,13,36,6,54,192
227,Brunei,654,201,777,-3,-12,150,29,42,79,27,110,13,118,483
228,Anguilla,646,224,556,+1,+24,115,31,50,34,15,86,14,71,408
229,Tibet,629,208,666,-2,0,10,0,3,7,0,9,1,8,38
230,Cook Islands,621,206,681,0,0,56,4,14,38,13,39,4,50,276
231,US Virgin Islands,617,219,685,+2,+31,79,27,34,18,9,57,13,50,296
232,Bhutan,614,219,598,-2,-7,114,20,39,55,11,95,8,65,414
233,Macao,595,173,957,-1,-4,168,55,55,58,25,125,18,148,502
234,Christmas Island,578,228,577,0,0,10,6,4,0,7,2,1,29,8
235,Falkland Islands,571,229,585,0,0,4,0,1,3,0,4,0,0,25
236,Micronesia,563,230,571,0,0,8,1,3,4,1,7,0,8,64
237,Marshall Islands,559,237,559,-,-,2,0,0,2,0,2,0,2,7
238,Kiribati,544,219,578,-1,0,11,0,2,9,0,10,1,7,126
239,Tonga,520,213,652,-1,0,70,10,15,45,16,48,6,82,265
240,Niue,496,225,496,-1,0,2,0,0,2,0,2,0,0,33
241,Northern Mariana Islands,431,233,513,-1,0,36,7,11,18,5,28,3,43,153
242,Cocos Islands,422,234,423,-1,0,10,4,6,0,2,7,1,8,29
243,Palau,402,237,402,-1,0,2,2,0,0,0,2,0,3,27
244,Eastern Samoa,389,226,468,-1,0,57,0,15,42,5,50,2,34,374
